Date,Open,High,Low,Close,Adj Close,Volume
19-07-2005,7.524,7.73,7.517,7.719,7.719,506748324
20-07-2005,7.611,7.786,7.517,7.771,7.771,574561556
21-07-2005,7.822,7.915,7.751,7.819,7.819,794543021
22-07-2005,7.631,7.702,7.381,7.532,7.532,938978379
25-07-2005,7.532,7.554,7.346,7.369,7.369,387800142
26-07-2005,7.348,7.422,7.275,7.375,7.375,394147846
27-07-2005,7.416,7.428,7.283,7.396,7.396,289798178
28-07-2005,7.407,7.407,7.305,7.31,7.31,237912424
29-07-2005,7.276,7.294,7.148,7.167,7.167,335785908
01-08-2005,7.176,7.285,7.176,7.263,7.263,227344963
02-08-2005,7.263,7.46,7.251,7.452,7.452,292701018
03-08-2005,7.422,7.465,7.362,7.405,7.405,238113174
04-08-2005,7.361,7.447,7.354,7.415,7.415,210245108
05-08-2005,7.41,7.435,7.256,7.281,7.281,238478538
08-08-2005,7.313,7.364,7.235,7.254,7.254,179943955
09-08-2005,7.272,7.29,7.186,7.262,7.262,232038489
10-08-2005,7.255,7.281,7.095,7.115,7.115,276191367
11-08-2005,7.121,7.138,6.989,7.075,7.075,301722708
12-08-2005,7.058,7.228,7.015,7.216,7.216,264423423
15-08-2005,7.218,7.292,7.068,7.073,7.073,328213631
16-08-2005,7.095,7.168,7.057,7.115,7.115,285433881
17-08-2005,7.111,7.137,7.073,7.101,7.101,155914222
18-08-2005,6.872,6.986,6.849,6.974,6.974,476692087
19-08-2005,6.999,7.01,6.964,6.974,6.974,222547046
22-08-2005,7.005,7.01,6.808,6.825,6.825,273541472
23-08-2005,6.878,6.967,6.827,6.963,6.963,233740846
24-08-2005,6.913,7.092,6.885,7.038,7.038,345012362
25-08-2005,7.037,7.073,6.973,7.038,7.038,175720183
26-08-2005,7.061,7.099,7.04,7.063,7.063,150775031
29-08-2005,7.03,7.201,7.03,7.184,7.184,237005036
30-08-2005,7.158,7.211,7.12,7.155,7.155,192398464
31-08-2005,7.179,7.186,7.082,7.123,7.123,202114747
01-09-2005,7.121,7.161,7.098,7.13,7.13,110095123
02-09-2005,7.136,7.223,7.134,7.184,7.184,137894934
06-09-2005,7.198,7.208,7.143,7.151,7.151,169123549
07-09-2005,7.121,7.36,7.105,7.344,7.344,301104399
08-09-2005,7.343,7.454,7.307,7.357,7.357,265523531
09-09-2005,7.404,7.45,7.386,7.449,7.449,176278267
12-09-2005,7.516,7.756,7.497,7.715,7.715,417017246
13-09-2005,7.696,7.859,7.626,7.763,7.763,413540262
14-09-2005,7.689,7.803,7.479,7.547,7.547,452722579
15-09-2005,7.46,7.64,7.42,7.537,7.537,620966845
16-09-2005,7.572,7.584,7.469,7.477,7.477,304328438
19-09-2005,7.497,7.621,7.49,7.566,7.566,231339881
20-09-2005,7.625,7.753,7.602,7.669,7.669,375441994
21-09-2005,7.681,7.815,7.62,7.768,7.768,406305245
22-09-2005,7.758,7.951,7.725,7.755,7.755,522206047
23-09-2005,7.796,7.901,7.786,7.855,7.855,340623975
26-09-2005,7.958,7.994,7.785,7.828,7.828,397259466
27-09-2005,7.844,7.931,7.805,7.819,7.819,275954483
28-09-2005,7.826,7.848,7.611,7.621,7.621,321095049
29-09-2005,7.638,7.739,7.623,7.712,7.712,225393676
30-09-2005,7.826,7.908,7.778,7.882,7.882,367424053
03-10-2005,7.811,7.973,7.791,7.937,7.937,367785402
04-10-2005,7.969,8.002,7.739,7.746,7.746,367143003
05-10-2005,7.788,7.843,7.671,7.739,7.739,334384676
06-10-2005,7.824,7.833,7.723,7.79,7.79,320950509
07-10-2005,7.84,7.887,7.735,7.796,7.796,271827070
10-10-2005,7.804,7.841,7.7,7.737,7.737,223723439
11-10-2005,7.736,7.787,7.593,7.624,7.624,342984790
12-10-2005,7.602,7.651,7.447,7.496,7.496,373643277
13-10-2005,7.522,7.522,7.24,7.408,7.408,424292413
14-10-2005,7.47,7.478,7.286,7.376,7.376,342041267
17-10-2005,7.41,7.602,7.337,7.597,7.597,303802474
18-10-2005,7.596,7.67,7.54,7.554,7.554,284173173
19-10-2005,7.572,7.718,7.571,7.689,7.689,281479113
20-10-2005,7.721,7.749,7.502,7.552,7.552,558553779
21-10-2005,8.613,8.628,8.294,8.466,8.466,919128253
24-10-2005,8.552,8.7,8.523,8.684,8.684,378682093
25-10-2005,8.612,8.653,8.539,8.64,8.64,276163262
26-10-2005,8.625,8.867,8.622,8.853,8.853,357635500
27-10-2005,8.882,8.894,8.759,8.794,8.794,206145800
28-10-2005,8.849,8.94,8.842,8.921,8.921,237025111
31-10-2005,8.972,9.334,8.954,9.269,9.269,575866428
01-11-2005,9.262,9.562,9.191,9.449,9.449,656696267
02-11-2005,9.507,9.589,9.394,9.457,9.457,424200069
03-11-2005,9.525,9.628,9.499,9.613,9.613,299052737
04-11-2005,9.713,9.758,9.6,9.724,9.724,354319116
07-11-2005,9.841,9.9,9.767,9.839,9.839,385098052
08-11-2005,9.819,9.853,9.678,9.711,9.711,317084071
09-11-2005,9.631,9.671,9.415,9.443,9.443,420245300
10-11-2005,9.424,9.747,9.401,9.741,9.741,366516664
11-11-2005,9.841,9.885,9.685,9.724,9.724,283615089
14-11-2005,9.766,9.918,9.752,9.887,9.887,313486637
15-11-2005,9.823,9.888,9.737,9.783,9.783,346289130
16-11-2005,9.868,9.934,9.816,9.917,9.917,349111670
17-11-2005,10.007,10.058,9.951,10.049,10.049,369869183
18-11-2005,10.05,10.075,9.959,9.968,9.968,282077347
21-11-2005,9.942,10.211,9.801,10.196,10.196,414953540
22-11-2005,10.178,10.394,10.118,10.373,10.373,385278727
23-11-2005,10.387,10.578,10.356,10.532,10.532,404912042
25-11-2005,10.605,10.679,10.593,10.675,10.675,194329675
28-11-2005,10.705,10.741,10.522,10.547,10.547,441986487
29-11-2005,10.572,10.62,10.016,10.051,10.051,863054861
30-11-2005,10.069,10.173,9.852,10.085,10.085,626202395
01-12-2005,10.192,10.347,10.169,10.314,10.314,391257051
02-12-2005,10.385,10.449,10.308,10.404,10.404,302870996
05-12-2005,10.386,10.399,10.069,10.108,10.108,413118688
06-12-2005,10.179,10.371,10.005,10.076,10.076,607279734
07-12-2005,10.116,10.13,9.938,10.068,10.068,468385066
08-12-2005,10.095,10.228,10.028,10.228,10.228,357735875
09-12-2005,10.336,10.356,10.176,10.192,10.192,306881974
12-12-2005,10.327,10.341,10.21,10.277,10.277,279046027
13-12-2005,10.274,10.411,10.253,10.398,10.398,327775997
14-12-2005,10.387,10.454,10.348,10.435,10.435,266210095
15-12-2005,10.439,10.539,10.374,10.524,10.524,242738446
16-12-2005,10.594,10.772,10.529,10.714,10.714,655668429
19-12-2005,10.765,11.114,10.464,10.575,10.575,880760980
20-12-2005,10.657,10.765,10.577,10.703,10.703,404899997
21-12-2005,10.798,10.881,10.478,10.618,10.618,450558497
22-12-2005,10.754,10.781,10.608,10.761,10.761,302995460
23-12-2005,10.763,10.772,10.679,10.733,10.733,184492943
27-12-2005,10.756,10.756,10.53,10.576,10.576,269116950
28-12-2005,10.569,10.655,10.492,10.627,10.627,285783185
29-12-2005,10.66,10.678,10.44,10.465,10.465,278873383
30-12-2005,10.393,10.416,10.305,10.333,10.333,304621533
03-01-2006,10.524,10.851,10.416,10.84,10.84,526815259
04-01-2006,11.056,11.182,10.953,11.089,11.089,613747887
05-01-2006,11.108,11.247,10.996,11.239,11.239,433952486
06-01-2006,11.379,11.719,11.289,11.598,11.598,712938289
09-01-2006,11.617,11.791,11.48,11.629,11.629,513593887
10-01-2006,11.567,11.712,11.508,11.7,11.7,365247927
11-01-2006,11.738,11.833,11.686,11.747,11.747,361646478
12-01-2006,11.799,11.83,11.494,11.547,11.547,406530084
13-01-2006,11.564,11.629,11.497,11.613,11.613,307411953
17-01-2006,11.533,11.704,11.52,11.634,11.634,332051965
18-01-2006,11.141,11.391,11.04,11.081,11.081,822499417
19-01-2006,11.237,11.295,10.785,10.871,10.871,583671575
20-01-2006,10.927,10.96,9.832,9.949,9.949,1650832619
23-01-2006,10.146,10.67,10.105,10.648,10.648,913065614
24-01-2006,10.86,11.082,10.821,11.034,11.034,620902605
25-01-2006,11.239,11.313,10.69,10.785,10.785,752401655
26-01-2006,10.947,10.959,10.549,10.816,10.816,518982008
27-01-2006,10.834,10.915,10.684,10.797,10.797,339355237
30-01-2006,10.691,10.792,10.585,10.631,10.631,344843732
31-01-2006,10.724,10.949,10.56,10.776,10.776,885948351
01-02-2006,9.689,10.012,9.652,10.007,10.007,1088966472
02-02-2006,10.058,10.125,9.863,9.864,9.864,474078326
03-02-2006,9.804,9.811,9.279,9.503,9.503,734012987
06-02-2006,9.597,9.711,9.454,9.592,9.592,358956433
07-02-2006,9.539,9.557,9.05,9.164,9.164,667701363
08-02-2006,9.178,9.233,8.834,9.193,9.193,835283155
09-02-2006,9.245,9.325,8.87,8.936,8.936,478282024
10-02-2006,9.015,9.078,8.796,9.031,9.031,611222457
13-02-2006,8.634,8.732,8.515,8.61,8.61,791668286
14-02-2006,8.601,8.759,8.528,8.551,8.551,588357072
15-02-2006,8.5,8.618,8.414,8.528,8.528,519821141
16-02-2006,8.609,9.141,8.58,9.127,9.127,855815829
17-02-2006,9.212,9.269,9.057,9.184,9.184,574955025
21-02-2006,9.127,9.304,9.094,9.131,9.131,348742290
22-02-2006,9.144,9.189,9.063,9.103,9.103,260018976
23-02-2006,9.106,9.495,9.101,9.416,9.416,503945859
24-02-2006,9.397,9.466,9.302,9.4,9.4,260344190
27-02-2006,9.496,9.756,9.471,9.723,9.723,410019113
28-02-2006,9.793,9.901,8.431,9.032,9.032,1583416872
01-03-2006,9.18,9.202,8.999,9.086,9.086,484256334
02-03-2006,9.073,9.492,9.021,9.376,9.376,735960259
03-03-2006,9.572,9.645,9.359,9.419,9.419,480273461
06-03-2006,9.487,9.549,9.144,9.168,9.168,358928328
07-03-2006,9.091,9.177,8.92,9.077,9.077,416708092
08-03-2006,8.815,8.967,8.731,8.814,8.814,471585016
09-03-2006,8.852,8.93,8.506,8.543,8.543,558501584
10-03-2006,8.555,8.58,8.258,8.406,8.406,775921484
13-03-2006,8.491,8.62,8.355,8.395,8.395,547741403
14-03-2006,8.397,8.776,8.284,8.746,8.746,740794310
15-03-2006,8.737,8.775,8.481,8.58,8.58,512666424
16-03-2006,8.683,8.686,8.416,8.438,8.438,402169802
17-03-2006,8.438,8.513,8.342,8.463,8.463,343350155
20-03-2006,8.527,8.72,8.507,8.672,8.672,417864410
21-03-2006,8.718,8.759,8.445,8.466,8.466,394717975
22-03-2006,8.462,8.57,8.406,8.474,8.474,304978867
23-03-2006,8.527,8.611,8.473,8.515,8.515,298502683
24-03-2006,9.181,9.218,9.029,9.111,9.111,609500025
27-03-2006,9.143,9.258,9.091,9.208,9.208,282001062
28-03-2006,9.258,9.411,9.245,9.395,9.395,359173242
29-03-2006,9.463,9.938,9.452,9.838,9.838,763952790
30-03-2006,9.693,9.801,9.554,9.675,9.675,590673723
